,PAY DATE,DECLARED DATE,EX-DIVIDEND DATE,PAYOUT AMOUNT,QUALIFIED DIVIDEND?,PAYOUT TYPE,FREQUENCY,DAYS TAKEN FOR STOCK PRICE TO RECOVER
0,2020-12-15,2020-11-04,2020-12-04,1.25,"Income, Qualified",Regular,Quarterly,0
1,2020-09-22,2020-08-05,2020-09-11,1.25,"Income, Qualified",Regular,Quarterly,1
2,2020-06-30,2020-06-02,2020-06-19,1.25,"Income, Qualified",Regular,Quarterly,1
3,2020-03-24,2020-02-17,2020-03-13,1.25,"Income, Qualified",Regular,Quarterly,0
4,2019-12-17,2019-11-08,2019-12-06,1.25,"Income, Qualified",Regular,Quarterly,4
5,2019-09-24,2019-08-13,2019-09-13,1.25,"Income, Qualified",Regular,Quarterly,0
6,2019-06-25,2019-06-05,2019-06-14,1.25,"Income, Qualified",Regular,Quarterly,0
7,2019-03-19,2019-02-27,2019-03-08,1.25,"Income, Qualified",Regular,Quarterly,0
8,2018-12-13,2018-11-09,2018-11-30,1.25,"Income, Qualified",Regular,Quarterly,1
9,2018-09-18,2018-08-08,2018-09-06,1.25,"Income, Qualified",Regular,Quarterly,0
10,2018-06-26,2018-06-05,2018-06-15,1.25,"Income, Qualified",Regular,Quarterly,0
11,2018-03-20,2018-02-14,2018-03-08,1.25,"Income, Qualified",Regular,Quarterly,5
12,2017-12-12,2017-11-08,2017-11-30,1.25,"Income, Qualified",Regular,Quarterly,0
13,2017-09-19,2017-08-16,2017-09-07,1.25,"Income, Qualified",Regular,Quarterly,2
14,2017-06-27,2017-06-07,2017-06-15,1.25,"Income, Qualified",Regular,Quarterly,2
15,2017-03-21,2017-02-09,2017-03-08,1.25,"Income, Qualified",Regular,Quarterly,2
16,2016-12-13,2016-11-09,2016-11-30,1.25,"Income, Qualified",Regular,Quarterly,0
17,2016-09-20,2016-08-03,2016-09-07,1.25,"Income, Qualified",Regular,Quarterly,7
18,2016-06-28,2016-06-08,2016-06-15,1.25,"Income, Qualified",Regular,Quarterly,1
19,2016-03-22,2016-02-10,2016-03-09,1.25,"Income, Qualified",Regular,Quarterly,1
20,2015-12-15,2015-11-06,2015-12-02,1.25,"Income, Qualified",Regular,Quarterly,0
21,2015-09-22,2015-08-12,2015-09-09,1.25,"Income, Qualified",Regular,Quarterly,1
22,2015-06-24,2015-06-03,2015-06-11,1.25,"Income, Qualified",Regular,Quarterly,0
23,2015-03-24,2015-02-10,2015-03-11,1.25,"Income, Qualified",Regular,Quarterly,0
24,2014-12-16,2014-11-06,2014-12-03,1.25,"Income, Qualified",Regular,Quarterly,0
25,2014-09-23,2014-08-12,2014-09-10,1.25,"Income, Qualified",Regular,Quarterly,29
26,2014-06-25,2014-06-04,2014-06-12,1.25,"Income, Qualified",Regular,Quarterly,5
27,2014-03-25,2014-02-12,2014-03-12,1.25,"Income, Qualified",Regular,Quarterly,4
28,2013-12-17,2013-11-07,2013-12-04,1.25,"Income, Qualified",Regular,Quarterly,4
29,2013-09-24,2013-08-14,2013-09-11,1.25,"Income, Qualified",Regular,Quarterly,0
30,2013-06-26,2013-06-05,2013-06-13,1.25,"Income, Qualified",Regular,Quarterly,0
31,2013-03-26,2013-02-06,2013-03-13,1.25,"Income, Qualified",Regular,Quarterly,3
32,2012-12-21,2012-10-29,2012-12-07,1.25,"Income, Qualified",Regular,Quarterly,0
33,2012-09-21,2012-08-07,2012-09-12,1.25,"Income, Qualified",Regular,Quarterly,0
34,2012-06-22,2012-06-06,2012-06-13,1.25,"Income, Qualified",Regular,Quarterly,0
35,2012-03-19,2012-02-08,2012-03-01,1.25,"Income, Qualified",Regular,Quarterly,0
36,2011-12-21,2011-11-04,2011-12-05,1.25,"Income, Qualified",Regular,Quarterly,0
37,2011-09-21,2011-08-02,2011-09-02,1.25,"Income, Qualified",Regular,Quarterly,3
38,2011-06-21,2011-05-25,2011-06-03,1.25,"Income, Qualified",Regular,Quarterly,4
39,2011-03-21,2011-02-09,2011-03-03,1.25,"Income, Qualified",Regular,Quarterly,0
40,2010-12-21,2010-11-02,2010-12-03,1.25,"Income, Qualified",Regular,Quarterly,24
41,2010-09-28,2010-08-03,2010-09-10,1.25,"Income, Qualified",Regular,Quarterly,0
42,2010-06-21,2010-05-25,2010-06-03,1.25,"Income, Qualified",Regular,Quarterly,0
43,2010-04-20,2010-02-09,2010-04-01,1.25,"Income, Qualified",Regular,Annually,0
44,2009-04-16,2009-02-03,2009-03-31,1.25,"Income, Qualified",Regular,Annually,0
45,2008-04-16,2008-02-19,2008-03-31,1.25,"Income, Qualified",Regular,Annually,1
46,2007-04-16,2007-01-31,2007-03-29,1.25,"Income, Qualified",Regular,Annually,4
47,2006-04-17,2006-02-01,2006-03-30,1.25,"Income, Qualified",Regular,Annually,0
48,2005-04-18,2005-02-02,2005-03-30,1.25,"Income, Qualified",Regular,Annually,0
49,2004-04-16,-,2004-03-30,1.25,"Income, Qualified",Regular,Annually,0
50,2003-04-17,2003-02-12,2003-03-28,1.25,"Income, Qualified",Regular,Annually,0
51,2002-04-17,2002-02-14,2002-03-27,1.25,Income,Regular,Annually,0
52,2001-04-18,2001-02-14,2001-03-29,1.25,Income,Regular,Annually,0
53,2000-04-19,2000-02-10,2000-03-30,1.25,Income,Regular,Annually,0
54,1999-04-15,-,1999-03-30,1.25,Income,Regular,Annually,0
55,1998-04-15,1998-02-12,1998-03-30,1.25,Income,Regular,Annually,3
56,1997-04-15,1997-02-13,1997-04-01,1.25,Income,Regular,Annually,0
